"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2,U6";"INTAN_QFN44-7.0x7.0x0.8_P0.5";2;"RHS2116";;;
2;"";"OE-LOGO-7X5";1;"";;;
3;"L7,L2,L1";"L_0402_1005Metric";3;"BLM15AX102SN1D";;;
4;"J6";"IDC-Header_2x05_P2.54mm_Vertical";1;"SBH11-PBPC-D05-ST-BK";;;
5;"C41,C27,C29,C40,C37,C38";"C_0201_0603Metric";6;"1uF";;;
6;"SW1";"MITSUMI_R-668049";1;"R-668049";;;
7;"L5,L6,L19,L20,L17,L18";"L_0201_0603Metric";6;"BLM03AX102SN1D";;;
8;"C65,C66";"C_0603_1608Metric";2;"10uF";;;
9;"U8";"LATTICE_ufcBGA64C40P8X8_3.5X3.5X1.0";1;"LIF-MD6000-6UMG64I";;;
10;"R15";"R_0201_0603Metric";1;"49.9";;;
11;"U7";"TI_RHB0032P";1;"DS90UB953A-Q1";;;
12;"R2,R17,R1";"R_0201_0603Metric";3;"1k";;;
13;"C20,C12,C23,C21,C19,C62,C31,C32,C30";"C_0402_1005Metric";9;"0.1uF";;;
14;"C67,C18";"C_0805_2012Metric";2;"47uF";;;
15;"R7,R8";"R_0201_0603Metric";2;"2k";;;
16;"R20,R22,R19,R21";"R_0201_0603Metric";4;"4.7k";;;
17;"C16,C22,C8,C14,C33,C7,C9,C15,C58";"C_0201_0603Metric";9;"10nF";;;
18;"R18";"R_0603_1608Metric";1;"0";;;
19;"TP3";"TestPoint_Pad_D0.6mm";1;"HVOUT_{A}";;;
20;"TP6";"TestPoint_Pad_D0.6mm";1;"+2.5V";;;
21;"C68,C11,C69,C36,C43,C39,C45,C4,C49,C47,C44,C48,C6,C5,C42,C46";"C_0201_0603Metric";16;"0.1uF";;;
22;"J4";"MILLMAX_850-10-003-40-001000";1;"850-10-003-40-001000";;;
23;"L3";"L_1210_3225Metric";1;"CBC3225T101MR";;;
24;"U4";"ONSEMI_567JZ_WLCSP4-0.64x0.64";1;"NCP163AFCT330T2G";;;
25;"U10";"ONSEMI_567JZ_WLCSP4-0.64x0.64";1;"NCP163AFCT120T2G";;;
26;"L9,L8";"L_0402_1005Metric";2;"BLM15PX601SN1D";;;
27;"R9,R14";"R_0201_0603Metric";2;"10k";;;
28;"R4";"R_0201_0603Metric";1;"78.7k,1%";;;
29;"REF**";"OE_LOGO-NOTXT-MASK-3.5x2.5";1;"OE_LOGO-NOTXT-MASK-3.5x2.5";;;
30;"TP4";"TestPoint_Pad_D0.6mm";1;"+3.3V";;;
31;"J5";"ONIXJTAG-RevA";1;"PINHD-1x7_ONIXJTAG-RevA";;;
32;"L4";"L_0805_2012Metric";1;"CIG21L4R7MNE";;;
33;"L15,L10,L13,L16,L12,L11,L14";"L_0201_0603Metric";7;"BLM03PX121SN1D";;;
34;"C35,C52,C34,C17,C51";"C_0402_1005Metric";5;"1uF";;;
35;"R3";"R_0201_0603Metric";1;"39.2,1%";;;
36;"R23";"R_0201_0603Metric";1;"22";;;
37;"TP9";"TestPoint_Pad_D0.6mm";1;"~{CS}_{Flash}";;;
38;"J1";"HIROSE_X.FL-R-SMT-1";1;"CONMHF4-SMD-G-T";;;
39;"G***";"LOGO";1;"LOGO";;;
40;"C13";"C_0402_1005Metric";1;"47nF";;;
41;"D1";"ROHM_SML-P11MTT86R";1;"SML-P11UTT86R";;;
42;"R16";"R_0201_0603Metric";1;"0";;;
43;"U9";"ONSEMI_567JZ_WLCSP4-0.64x0.64";1;"NCP163AFCT180T2G";;;
44;"F1";"LITTLEFUSE_0402";1;"0402L020SL";;;
45;"C64,C26,C63,C61,C25";"C_0402_1005Metric";5;"4.7uF";;;
46;"U1";"LINEAR_SON50P300X500X80-19N-D";1;"LTC3265";;;
47;"C28,C60";"C_0201_0603Metric";2;"10pF";;;
48;"C54,C55,C57,C56,C53";"C_0402_1005Metric";5;"2.2uF";;;
49;"JP1";"SolderJumper-2_0201_Open_Pad";1;"Jumper_2_Open";;;
50;"U11";"WINBOND_USON8-2x3x0.6";1;"W25Q80EWUXIE";;;
51;"R11,R12";"R_0201_0603Metric";2;"125k";;;
52;"C24,C59";"C_0402_1005Metric";2;"0.47uF";;;
53;"R5";"R_0201_0603Metric";1;"?";;;
54;"C2,C1,C50,C3";"C_0402_1005Metric";4;"10uF";;;
55;"R6";"R_0201_0603Metric";1;"40.2k,1%";;;
56;"U5";"TI_SIP0008B";1;"TPS826951";;;
57;"R13,R10";"R_0201_0603Metric";2;"604k";;;
58;"TP2";"TestPoint_Pad_D0.6mm";1;"GPIO1";;;
59;"TP8";"TestPoint_Pad_D0.6mm";1;"+1.2V";;;
60;"C10";"C_0201_0603Metric";1;"22nF";;;
61;"U12";"MICROCHIP_VFLGA4-2.0x1.6";1;"DSC6011JI1A-050.0000";;;
62;"J2";"OMNETICS_A79025-001";1;"A79025-001";;;
